"c","residuals","flow","flow_difference","temperature_difference","photoperiod","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
" resid photoperiod temp_diff",1,0,0,1,1,0,0,-1191.4,2497.2,54,45,TRUE,0,1,0.31,0.31
" resid flow photoperiod temp_diff",1,1,0,1,1,0,0,-1191.09,2498.82,55,47,TRUE,1.62000000000035,0.44,0.14,0.44
" resid photoperiod temp_diff flow_diff",1,0,1,1,1,0,0,-1191.26,2499.15,55,46,TRUE,1.95000000000027,0.38,0.12,0.56
" resid photoperiod temp_diff lunar_phase",1,0,0,1,1,1,0,-1191.36,2499.36,55,47,TRUE,2.16000000000031,0.34,0.1,0.66
" resid flow photoperiod temp_diff flow_diff",1,1,1,1,1,0,0,-1190.97,2500.82,56,47,TRUE,3.62000000000035,0.16,0.05,0.71
" resid flow photoperiod temp_diff lunar_phase",1,1,0,1,1,1,0,-1191.07,2501.03,56,53,TRUE,3.83000000000038,0.15,0.04,0.75
" resid photoperiod temp_diff chinook0_hatchery_perhour_inp",1,0,0,1,1,0,1,-1191.12,2501.13,56,49,TRUE,3.93000000000029,0.14,0.04,0.8
" resid photoperiod temp_diff flow_diff lunar_phase",1,0,1,1,1,1,0,-1191.24,2501.36,56,51,TRUE,4.16000000000031,0.12,0.04,0.84
" resid flow photoperiod temp_diff chinook0_hatchery_perhour_inp",1,1,0,1,1,0,1,-1190.71,2502.56,57,53,TRUE,5.36000000000013,0.07,0.02,0.86
" resid photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",1,0,1,1,1,0,1,-1190.93,2503,57,49,TRUE,5.80000000000018,0.06,0.02,0.87
" resid flow photoperiod temp_diff flow_diff lunar_phase",1,1,1,1,1,1,0,-1190.96,2503.06,57,47,TRUE,5.86000000000013,0.05,0.02,0.89
" resid photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,0,1,1,1,1,-1191.06,2503.27,57,50,TRUE,6.07000000000016,0.05,0.01,0.9
" resid flow photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",1,1,1,1,1,0,1,-1190.54,2504.48,58,58,TRUE,7.2800000000002,0.03,0.01,0.91
" resid flow photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,0,1,1,1,1,-1190.68,2504.76,58,48,TRUE,7.5600000000004,0.02,0.01,0.92
" resid photoperiod",1,0,0,0,1,0,0,-1196.41,2504.98,53,48,TRUE,7.7800000000002,0.02,0.01,0.93
" resid temp_diff chinook0_hatchery_perhour_inp",1,0,0,1,0,0,1,-1194.21,2505.07,55,45,TRUE,7.87000000000035,0.02,0.01,0.93
" resid flow photoperiod",1,1,0,0,1,0,0,-1195.36,2505.11,54,52,TRUE,7.91000000000031,0.02,0.01,0.94
" resid photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,1,1,1,1,1,-1190.9,2505.2,58,55,TRUE,8,0.02,0.01,0.94
" resid flow photoperiod chinook0_hatchery_perhour_inp",1,1,0,0,1,0,1,-1193.22,2505.32,56,48,TRUE,8.12000000000035,0.02,0.01,0.95
" resid photoperiod chinook0_hatchery_perhour_inp",1,0,0,0,1,0,1,-1194.38,2505.39,55,47,TRUE,8.19000000000005,0.02,0.01,0.95
" resid temp_diff",1,0,0,1,0,0,0,-1196.66,2505.48,53,45,TRUE,8.2800000000002,0.02,0,0.96
" resid flow photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,1,1,1,1,1,-1190.53,2506.72,59,53,TRUE,9.51999999999998,0.01,0,0.96
" resid flow temp_diff chinook0_hatchery_perhour_inp",1,1,0,1,0,0,1,-1193.93,2506.75,56,51,TRUE,9.55000000000018,0.01,0,0.96
" resid photoperiod flow_diff",1,0,1,0,1,0,0,-1196.3,2507,54,51,TRUE,9.80000000000018,0.01,0,0.97
" resid temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,0,1,0,1,1,-1194.12,2507.13,56,52,TRUE,9.93000000000029,0.01,0,0.97
" resid photoperiod flow_diff chinook0_hatchery_perhour_inp",1,0,1,0,1,0,1,-1194.14,2507.16,56,45,TRUE,9.96000000000004,0.01,0,0.97
" resid photoperiod lunar_phase",1,0,0,0,1,1,0,-1196.39,2507.18,54,52,TRUE,9.98000000000002,0.01,0,0.97
" resid flow photoperiod flow_diff chinook0_hatchery_perhour_inp",1,1,1,0,1,0,1,-1193.02,2507.19,57,57,TRUE,9.99000000000024,0.01,0,0.97
" resid flow photoperiod flow_diff",1,1,1,0,1,0,0,-1195.28,2507.19,55,57,TRUE,9.99000000000024,0.01,0,0.98
" resid temp_diff flow_diff chinook0_hatchery_perhour_inp",1,0,1,1,0,0,1,-1194.16,2507.21,56,55,TRUE,10.0100000000002,0.01,0,0.98
" resid flow photoperiod lunar_phase",1,1,0,0,1,1,0,-1195.36,2507.35,55,44,TRUE,10.1500000000001,0.01,0,0.98
" resid photoperiod lunar_phase chinook0_hatchery_perhour_inp",1,0,0,0,1,1,1,-1194.31,2507.51,56,50,TRUE,10.3100000000004,0.01,0,0.98
" resid flow photoperiod lunar_phase chinook0_hatchery_perhour_inp",1,1,0,0,1,1,1,-1193.19,2507.53,57,48,TRUE,10.3300000000004,0.01,0,0.98
" resid flow temp_diff",1,1,0,1,0,0,0,-1196.62,2507.62,54,44,TRUE,10.4200000000001,0.01,0,0.99
" resid temp_diff lunar_phase",1,0,0,1,0,1,0,-1196.62,2507.64,54,48,TRUE,10.4400000000001,0.01,0,0.99
" resid temp_diff flow_diff",1,0,1,1,0,0,0,-1196.66,2507.71,54,46,TRUE,10.5100000000002,0.01,0,0.99
" photoperiod temp_diff",0,0,0,1,1,0,0,-1198.33,2508.82,53,49,TRUE,11.6200000000003,0,0,0.99
" resid flow temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,0,1,0,1,1,-1193.86,2508.87,57,54,TRUE,11.6700000000001,0,0,0.99
" resid flow temp_diff flow_diff chinook0_hatchery_perhour_inp",1,1,1,1,0,0,1,-1193.89,2508.92,57,58,TRUE,11.7200000000003,0,0,0.99
" resid photoperiod flow_diff lunar_phase",1,0,1,0,1,1,0,-1196.3,2509.23,55,61,TRUE,12.0300000000002,0,0,0.99
" resid temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,1,1,0,1,1,-1194.09,2509.32,57,51,TRUE,12.1200000000003,0,0,0.99
" resid photoperiod flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,1,0,1,1,1,-1194.11,2509.36,57,49,TRUE,12.1600000000003,0,0,0.99
" resid flow photoperiod flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,1,0,1,1,1,-1193.02,2509.44,58,42,TRUE,12.2400000000002,0,0,0.99
" resid flow photoperiod flow_diff lunar_phase",1,1,1,0,1,1,0,-1195.28,2509.44,56,50,TRUE,12.2400000000002,0,0,0.99
" photoperiod temp_diff flow_diff",0,0,1,1,1,0,0,-1197.63,2509.65,54,46,TRUE,12.4500000000003,0,0,1
" resid flow temp_diff lunar_phase",1,1,0,1,0,1,0,-1196.58,2509.8,55,46,TRUE,12.6000000000004,0,0,1
" resid flow temp_diff flow_diff",1,1,1,1,0,0,0,-1196.61,2509.86,55,54,TRUE,12.6600000000003,0,0,1
" resid temp_diff flow_diff lunar_phase",1,0,1,1,0,1,0,-1196.61,2509.87,55,50,TRUE,12.6700000000001,0,0,1
" resid chinook0_hatchery_perhour_inp",1,0,0,0,0,0,1,-1198.21,2510.81,54,47,TRUE,13.6100000000001,0,0,1
" photoperiod temp_diff lunar_phase",0,0,0,1,1,1,0,-1198.24,2510.88,54,49,TRUE,13.6800000000003,0,0,1
" resid flow chinook0_hatchery_perhour_inp",1,1,0,0,0,0,1,-1197.19,2511.01,55,45,TRUE,13.8100000000004,0,0,1
" flow photoperiod temp_diff",0,1,0,1,1,0,0,-1198.33,2511.05,54,57,TRUE,13.8500000000004,0,0,1
" resid flow temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,1,1,0,1,1,-1193.84,2511.08,58,50,TRUE,13.8800000000001,0,0,1
" photoperiod temp_diff flow_diff lunar_phase",0,0,1,1,1,1,0,-1197.61,2511.86,55,43,TRUE,14.6600000000003,0,0,1
" flow photoperiod temp_diff flow_diff",0,1,1,1,1,0,0,-1197.63,2511.9,55,55,TRUE,14.7000000000003,0,0,1
" resid flow temp_diff flow_diff lunar_phase",1,1,1,1,0,1,0,-1196.57,2512.03,56,55,TRUE,14.8300000000004,0,0,1
" photoperiod temp_diff chinook0_hatchery_perhour_inp",0,0,0,1,1,0,1,-1197.96,2512.55,55,49,TRUE,15.3500000000004,0,0,1
" resid lunar_phase chinook0_hatchery_perhour_inp",1,0,0,0,0,1,1,-1198.1,2512.84,55,45,TRUE,15.6400000000003,0,0,1
" resid flow_diff chinook0_hatchery_perhour_inp",1,0,1,0,0,0,1,-1198.14,2512.92,55,52,TRUE,15.7200000000003,0,0,1
" flow photoperiod temp_diff lunar_phase",0,1,0,1,1,1,0,-1198.24,2513.12,55,49,TRUE,15.9200000000001,0,0,1
" resid flow lunar_phase chinook0_hatchery_perhour_inp",1,1,0,0,0,1,1,-1197.14,2513.16,56,48,TRUE,15.96,0,0,1
" resid flow flow_diff chinook0_hatchery_perhour_inp",1,1,1,0,0,0,1,-1197.15,2513.18,56,59,TRUE,15.98,0,0,1
" photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",0,0,1,1,1,0,1,-1197.19,2513.27,56,52,TRUE,16.0700000000002,0,0,1
" flow photoperiod temp_diff flow_diff lunar_phase",0,1,1,1,1,1,0,-1197.61,2514.1,56,59,TRUE,16.9000000000001,0,0,1
" photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,0,1,1,1,1,-1197.85,2514.59,56,52,TRUE,17.3900000000003,0,0,1
" flow photoperiod temp_diff chinook0_hatchery_perhour_inp",0,1,0,1,1,0,1,-1197.95,2514.79,56,47,TRUE,17.5900000000001,0,0,1
" resid flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,1,0,0,1,1,-1198.06,2515.01,56,46,TRUE,17.8100000000004,0,0,1
" resid flow flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,1,0,0,1,1,-1197.11,2515.36,57,53,TRUE,18.1600000000003,0,0,1
" photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,1,1,1,1,-1197.16,2515.46,57,46,TRUE,18.2600000000002,0,0,1
" flow photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",0,1,1,1,1,0,1,-1197.19,2515.51,57,51,TRUE,18.3100000000004,0,0,1
" flow photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,0,1,1,1,1,-1197.85,2516.83,57,50,TRUE,19.6300000000001,0,0,1
" flow photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,1,1,1,1,-1197.16,2517.71,58,61,TRUE,20.5100000000002,0,0,1
" temp_diff chinook0_hatchery_perhour_inp",0,0,0,1,0,0,1,-1202.07,2518.53,54,45,TRUE,21.3300000000004,0,0,1
" resid",1,0,0,0,0,0,0,-1204.41,2518.74,52,31,TRUE,21.54,0,0,1
" temp_diff flow_diff chinook0_hatchery_perhour_inp",0,0,1,1,0,0,1,-1201.63,2519.89,55,51,TRUE,22.6900000000001,0,0,1
" resid flow",1,1,0,0,0,0,0,-1204.11,2520.38,53,30,TRUE,23.1800000000003,0,0,1
" temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,0,1,0,1,1,-1201.9,2520.44,55,51,TRUE,23.2400000000002,0,0,1
" resid flow_diff",1,0,1,0,0,0,0,-1204.24,2520.64,53,34,TRUE,23.4400000000001,0,0,1
" flow temp_diff chinook0_hatchery_perhour_inp",0,1,0,1,0,0,1,-1202.06,2520.77,55,54,TRUE,23.5700000000002,0,0,1
" resid lunar_phase",1,0,0,0,0,1,0,-1204.38,2520.92,53,30,TRUE,23.7200000000003,0,0,1
" temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,1,0,1,1,-1201.54,2521.97,56,48,TRUE,24.77,0,0,1
" flow temp_diff flow_diff chinook0_hatchery_perhour_inp",0,1,1,1,0,0,1,-1201.62,2522.13,56,47,TRUE,24.9300000000003,0,0,1
" temp_diff",0,0,0,1,0,0,0,-1206.17,2522.25,52,33,TRUE,25.0500000000002,0,0,1
" resid flow flow_diff",1,1,1,0,0,0,0,-1203.98,2522.35,54,35,TRUE,25.1500000000001,0,0,1
" resid flow lunar_phase",1,1,0,0,0,1,0,-1204.1,2522.59,54,38,TRUE,25.3900000000003,0,0,1
" flow temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,0,1,0,1,1,-1201.89,2522.67,56,45,TRUE,25.4700000000003,0,0,1
" resid flow_diff lunar_phase",1,0,1,0,0,1,0,-1204.23,2522.86,54,44,TRUE,25.6600000000003,0,0,1
" temp_diff flow_diff",0,0,1,1,0,0,0,-1205.68,2523.51,53,40,TRUE,26.3100000000004,0,0,1
" flow temp_diff",0,1,0,1,0,0,0,-1205.84,2523.84,53,32,TRUE,26.6400000000003,0,0,1
" flow temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,1,0,1,1,-1201.53,2524.2,57,49,TRUE,27,0,0,1
" temp_diff lunar_phase",0,0,0,1,0,1,0,-1206.15,2524.45,53,42,TRUE,27.25,0,0,1
" resid flow flow_diff lunar_phase",1,1,1,0,0,1,0,-1203.97,2524.59,55,40,TRUE,27.3900000000003,0,0,1
" flow temp_diff flow_diff",0,1,1,1,0,0,0,-1205.3,2524.99,54,39,TRUE,27.79,0,0,1
" temp_diff flow_diff lunar_phase",0,0,1,1,0,1,0,-1205.68,2525.75,54,35,TRUE,28.5500000000002,0,0,1
" flow temp_diff lunar_phase",0,1,0,1,0,1,0,-1205.81,2526.01,54,35,TRUE,28.8100000000004,0,0,1
" photoperiod flow_diff chinook0_hatchery_perhour_inp",0,0,1,0,1,0,1,-1205.2,2527.04,55,62,TRUE,29.8400000000001,0,0,1
" flow temp_diff flow_diff lunar_phase",0,1,1,1,0,1,0,-1205.29,2527.23,55,39,TRUE,30.0300000000002,0,0,1
" photoperiod chinook0_hatchery_perhour_inp",0,0,0,0,1,0,1,-1206.47,2527.34,54,61,TRUE,30.1400000000003,0,0,1
" flow photoperiod flow_diff chinook0_hatchery_perhour_inp",0,1,1,0,1,0,1,-1204.84,2528.57,56,58,TRUE,31.3700000000003,0,0,1
" flow photoperiod chinook0_hatchery_perhour_inp",0,1,0,0,1,0,1,-1206.08,2528.81,55,61,TRUE,31.6100000000001,0,0,1
" photoperiod flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,0,1,1,1,-1205.17,2529.23,56,60,TRUE,32.0300000000002,0,0,1
" photoperiod lunar_phase chinook0_hatchery_perhour_inp",0,0,0,0,1,1,1,-1206.34,2529.31,55,53,TRUE,32.1100000000001,0,0,1
" photoperiod",0,0,0,0,1,0,0,-1209.72,2529.36,52,29,TRUE,32.1600000000003,0,0,1
" photoperiod flow_diff",0,0,1,0,1,0,0,-1208.72,2529.59,53,39,TRUE,32.3900000000003,0,0,1
" flow photoperiod flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,0,1,1,1,-1204.83,2530.79,57,55,TRUE,33.5900000000001,0,0,1
" flow photoperiod lunar_phase chinook0_hatchery_perhour_inp",0,1,0,0,1,1,1,-1205.98,2530.86,56,68,TRUE,33.6600000000003,0,0,1
" flow photoperiod",0,1,0,0,1,0,0,-1209.7,2531.54,53,37,TRUE,34.3400000000001,0,0,1
" photoperiod lunar_phase",0,0,0,0,1,1,0,-1209.72,2531.59,53,37,TRUE,34.3900000000003,0,0,1
" photoperiod flow_diff lunar_phase",0,0,1,0,1,1,0,-1208.7,2531.8,54,37,TRUE,34.6000000000004,0,0,1
" flow photoperiod flow_diff",0,1,1,0,1,0,0,-1208.7,2531.8,54,33,TRUE,34.6000000000004,0,0,1
" flow photoperiod lunar_phase",0,1,0,0,1,1,0,-1209.69,2533.78,54,37,TRUE,36.5800000000004,0,0,1
" flow photoperiod flow_diff lunar_phase",0,1,1,0,1,1,0,-1208.69,2534.01,55,38,TRUE,36.8100000000004,0,0,1
" chinook0_hatchery_perhour_inp",0,0,0,0,0,0,1,-1212.96,2538.07,53,31,TRUE,40.8700000000003,0,0,1
" flow_diff chinook0_hatchery_perhour_inp",0,0,1,0,0,0,1,-1212.1,2538.58,54,32,TRUE,41.3800000000001,0,0,1
" lunar_phase chinook0_hatchery_perhour_inp",0,0,0,0,0,1,1,-1212.91,2540.21,54,34,TRUE,43.0100000000002,0,0,1
" flow chinook0_hatchery_perhour_inp",0,1,0,0,0,0,1,-1212.91,2540.22,54,41,TRUE,43.02,0,0,1
" flow flow_diff chinook0_hatchery_perhour_inp",0,1,1,0,0,0,1,-1212.07,2540.77,55,43,TRUE,43.5700000000002,0,0,1
" flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,0,0,1,1,-1212.09,2540.82,55,36,TRUE,43.6200000000003,0,0,1
"no covariates",0,0,0,0,0,0,0,-1216.84,2541.37,51,26,TRUE,44.1700000000001,0,0,1
" flow lunar_phase chinook0_hatchery_perhour_inp",0,1,0,0,0,1,1,-1212.87,2542.38,55,34,TRUE,45.1800000000003,0,0,1
" flow_diff",0,0,1,0,0,0,0,-1216.41,2542.74,52,27,TRUE,45.54,0,0,1
" flow flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,0,0,1,1,-1212.06,2543.01,56,36,TRUE,45.8100000000004,0,0,1
" flow",0,1,0,0,0,0,0,-1216.81,2543.55,52,26,TRUE,46.3500000000004,0,0,1
" lunar_phase",0,0,0,0,0,1,0,-1216.82,2543.57,52,27,TRUE,46.3700000000003,0,0,1
" flow flow_diff",0,1,1,0,0,0,0,-1216.37,2544.89,53,28,TRUE,47.6900000000001,0,0,1
" flow_diff lunar_phase",0,0,1,0,0,1,0,-1216.41,2544.97,53,27,TRUE,47.77,0,0,1
" flow lunar_phase",0,1,0,0,0,1,0,-1216.79,2545.74,53,28,TRUE,48.54,0,0,1
" flow flow_diff lunar_phase",0,1,1,0,0,1,0,-1216.37,2547.13,54,26,TRUE,49.9300000000003,0,0,1
