"c","photoperiod","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","delta_aicc","deltaAICc","rel.LL","weights","cumulative_weights"
" photoperiod temp_diff flow flow_diff",1,1,1,1,0,0,-1331.15077523053,2737.05077646724,36,135,TRUE,0,0,1,0.24,0.24
" photoperiod flow flow_diff",1,0,1,1,0,0,-1332.48700376197,2737.57194566828,35,100,TRUE,0.52,0.52,0.77,0.18,0.42
" photoperiod temp_diff flow flow_diff coho1_hatchery_perhour_interpolate",1,1,1,1,0,1,-1329.49721482401,2738.05957959632,38,131,TRUE,1.01,1.01,0.6,0.14,0.56
" photoperiod flow flow_diff coho1_hatchery_perhour_interpolate",1,0,1,1,0,1,-1330.65060406205,2738.20616680178,37,105,TRUE,1.16,1.16,0.56,0.13,0.69
" photoperiod temp_diff flow lunar_phase flow_diff",1,1,1,1,1,0,-1331.07431119752,2739.05358107274,37,108,TRUE,2,2,0.37,0.09,0.78
" photoperiod flow lunar_phase flow_diff",1,0,1,1,1,0,-1332.4146546947,2739.57853539559,36,107,TRUE,2.53,2.53,0.28,0.07,0.85
" photoperiod temp_diff flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",1,1,1,1,1,1,-1329.41853008664,2740.06687383788,39,122,TRUE,3.02,3.02,0.22,0.05,0.9
" photoperiod flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",1,0,1,1,1,1,-1330.57559013697,2740.21633022224,38,110,TRUE,3.17,3.17,0.21,0.05,0.95
" photoperiod flow_diff coho1_hatchery_perhour_interpolate",1,0,0,1,0,1,-1333.99036242303,2742.72995085225,36,146,TRUE,5.68,5.68,0.06,0.01,0.96
" photoperiod flow_diff",1,0,0,1,0,0,-1336.29702680833,2743.04513497609,34,96,TRUE,5.99,5.99,0.05,0.01,0.97
" photoperiod temp_diff flow_diff coho1_hatchery_perhour_interpolate",1,1,0,1,0,1,-1333.80968141582,2744.52432150932,37,122,TRUE,7.47,7.47,0.02,0.01,0.98
" photoperiod temp_diff flow_diff",1,1,0,1,0,0,-1335.98005078851,2744.55803972135,35,99,TRUE,7.51,7.51,0.02,0.01,0.98
" photoperiod lunar_phase flow_diff coho1_hatchery_perhour_interpolate",1,0,0,1,1,1,-1333.95447888348,2744.81391644465,37,111,TRUE,7.76,7.76,0.02,0,0.99
" photoperiod lunar_phase flow_diff",1,0,0,1,1,0,-1336.2652311724,2745.12840048913,35,100,TRUE,8.08,8.08,0.02,0,0.99
" photoperiod temp_diff lunar_phase flow_diff coho1_hatchery_perhour_interpolate",1,1,0,1,1,1,-1333.77513903024,2746.61542800878,38,128,TRUE,9.56,9.56,0.01,0,1
" photoperiod temp_diff lunar_phase flow_diff",1,1,0,1,1,0,-1335.94936806112,2746.64796212842,36,108,TRUE,9.6,9.6,0.01,0,1
" photoperiod flow",1,0,1,0,0,0,-1339.3904038324,2749.23188902422,34,106,TRUE,12.18,12.18,0,0,1
" photoperiod flow coho1_hatchery_perhour_interpolate",1,0,1,0,0,1,-1337.48099133828,2749.71120868275,36,126,TRUE,12.66,12.66,0,0,1
" photoperiod temp_diff flow",1,1,1,0,0,0,-1338.87605665571,2750.35005145575,35,115,TRUE,13.3,13.3,0,0,1
" photoperiod",1,0,0,0,0,0,-1341.29383597189,2750.89631391909,33,93,TRUE,13.85,13.85,0,0,1
" photoperiod flow lunar_phase",1,0,1,0,1,0,-1339.16808759783,2750.93411333999,35,111,TRUE,13.88,13.88,0,0,1
" photoperiod temp_diff flow coho1_hatchery_perhour_interpolate",1,1,1,0,0,1,-1337.02345579579,2750.95187026926,37,100,TRUE,13.9,13.9,0,0,1
" photoperiod coho1_hatchery_perhour_interpolate",1,0,0,0,0,1,-1339.24308693105,2751.08411200643,35,113,TRUE,14.03,14.03,0,0,1
" photoperiod flow lunar_phase coho1_hatchery_perhour_interpolate",1,0,1,0,1,1,-1337.25482277447,2751.41460422663,37,128,TRUE,14.36,14.36,0,0,1
" photoperiod temp_diff flow lunar_phase",1,1,1,0,1,0,-1338.64339058397,2752.03600717413,36,105,TRUE,14.99,14.99,0,0,1
" photoperiod temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",1,1,1,0,1,1,-1336.78769574816,2752.64054144461,38,116,TRUE,15.59,15.59,0,0,1
" photoperiod lunar_phase",1,0,0,0,1,0,-1341.15020686157,2752.75149508256,34,97,TRUE,15.7,15.7,0,0,1
" photoperiod temp_diff",1,1,0,0,0,0,-1341.16719749897,2752.78547635737,34,100,TRUE,15.73,15.73,0,0,1
" photoperiod lunar_phase coho1_hatchery_perhour_interpolate",1,0,0,0,1,1,-1339.09055930568,2752.93034461755,36,110,TRUE,15.88,15.88,0,0,1
" photoperiod temp_diff coho1_hatchery_perhour_interpolate",1,1,0,0,0,1,-1339.18185623046,2753.1129384671,36,123,TRUE,16.06,16.06,0,0,1
" photoperiod temp_diff lunar_phase",1,1,0,0,1,0,-1341.02344200326,2754.64482215085,35,116,TRUE,17.59,17.59,0,0,1
" photoperiod temp_diff lunar_phase coho1_hatchery_perhour_interpolate",1,1,0,0,1,1,-1339.03014765802,2754.96525399372,37,119,TRUE,17.91,17.91,0,0,1
" temp_diff flow flow_diff",0,1,1,1,0,0,-1341.36435164258,2755.32664142949,35,103,TRUE,18.28,18.28,0,0,1
" temp_diff flow flow_diff coho1_hatchery_perhour_interpolate",0,1,1,1,0,1,-1339.95165100908,2756.80826069585,37,108,TRUE,19.76,19.76,0,0,1
" flow flow_diff",0,0,1,1,0,0,-1343.47992316747,2757.41092769437,34,87,TRUE,20.36,20.36,0,0,1
" temp_diff flow lunar_phase flow_diff",0,1,1,1,1,0,-1341.34696750658,2757.44316101935,36,93,TRUE,20.39,20.39,0,0,1
" flow flow_diff coho1_hatchery_perhour_interpolate",0,0,1,1,0,1,-1341.83661144654,2758.42244889926,36,99,TRUE,21.37,21.37,0,0,1
" temp_diff flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,1,1,1,1,1,-1339.93308827862,2758.93132650553,38,118,TRUE,21.88,21.88,0,0,1
" flow lunar_phase flow_diff",0,0,1,1,1,0,-1343.46883578977,2759.53560972387,35,81,TRUE,22.48,22.48,0,0,1
" flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,0,1,1,1,1,-1341.82342777676,2760.55181423121,37,115,TRUE,23.5,23.5,0,0,1
" flow_diff coho1_hatchery_perhour_interpolate",0,0,0,1,0,1,-1352.15623852308,2776.91041519049,35,87,TRUE,39.86,39.86,0,0,1
" flow_diff",0,0,0,1,0,0,-1355.03764080596,2778.38392358723,33,76,TRUE,41.33,41.33,0,0,1
" temp_diff flow",0,1,1,0,0,0,-1354.01970098842,2778.49048333626,34,81,TRUE,41.44,41.44,0,0,1
" flow",0,0,1,0,0,0,-1355.24726177833,2778.80316553197,33,87,TRUE,41.75,41.75,0,0,1
" temp_diff flow_diff coho1_hatchery_perhour_interpolate",0,1,0,1,0,1,-1352.06716287411,2778.88355175441,36,89,TRUE,41.83,41.83,0,0,1
" lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,0,0,1,1,1,-1352.15261241062,2779.05445082744,36,100,TRUE,42,42,0,0,1
" temp_diff flow coho1_hatchery_perhour_interpolate",0,1,1,0,0,1,-1352.41558523468,2779.58039647555,36,95,TRUE,42.53,42.53,0,0,1
" flow coho1_hatchery_perhour_interpolate",0,0,1,0,0,1,-1353.50259577347,2779.60312969126,35,90,TRUE,42.55,42.55,0,0,1
" temp_diff flow_diff",0,1,0,1,0,0,-1354.86727204386,2780.18562544715,34,81,TRUE,43.13,43.13,0,0,1
" temp_diff flow lunar_phase",0,1,1,0,1,0,-1353.89302106854,2780.3839802814,35,87,TRUE,43.33,43.33,0,0,1
" lunar_phase flow_diff",0,0,0,1,1,0,-1355.02984471196,2780.51077078334,34,85,TRUE,43.46,43.46,0,0,1
" flow lunar_phase",0,0,1,0,1,0,-1355.13723093317,2780.72554322576,34,82,TRUE,43.67,43.67,0,0,1
" temp_diff lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,1,0,1,1,1,-1352.06358512128,2781.03212892024,37,102,TRUE,43.98,43.98,0,0,1
" temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",0,1,1,0,1,1,-1352.28636035959,2781.47767939687,37,103,TRUE,44.43,44.43,0,0,1
" flow lunar_phase coho1_hatchery_perhour_interpolate",0,0,1,0,1,1,-1353.3876245584,2781.524475123,36,104,TRUE,44.47,44.47,0,0,1
" temp_diff lunar_phase flow_diff",0,1,0,1,1,0,-1354.85961698199,2782.31717210831,35,92,TRUE,45.27,45.27,0,0,1
" coho1_hatchery_perhour_interpolate",0,0,0,0,0,1,-1360.83477782513,2792.12063700969,34,92,TRUE,55.07,55.07,0,0,1
"none",0,0,0,0,0,0,-1363.3940034119,2792.95861319585,32,68,TRUE,55.91,55.91,0,0,1
" temp_diff coho1_hatchery_perhour_interpolate",0,1,0,0,0,1,-1360.79455433334,2794.18704681102,35,80,TRUE,57.14,57.14,0,0,1
" lunar_phase coho1_hatchery_perhour_interpolate",0,0,0,0,1,1,-1360.80742582507,2794.21278979446,35,77,TRUE,57.16,57.16,0,0,1
" temp_diff",0,1,0,0,0,0,-1363.29103284259,2794.8907076605,33,87,TRUE,57.84,57.84,0,0,1
" lunar_phase",0,0,0,0,1,0,-1363.37579154677,2795.06022506885,33,72,TRUE,58.01,58.01,0,0,1
" temp_diff lunar_phase coho1_hatchery_perhour_interpolate",0,1,0,0,1,1,-1360.76711878638,2796.28346357894,36,96,TRUE,59.23,59.23,0,0,1
" temp_diff lunar_phase",0,1,0,0,1,0,-1363.27249393984,2796.9960692391,34,91,TRUE,59.95,59.95,0,0,1
