"","c","photoperiod_difference","temperature","temperature_difference","flow","lunar_phase","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"gradient120"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,1,1,1,1,-2557.11,5206.34,45,45,TRUE,0,1,0.5,0.5
"gradient126"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,1,1,1,1,-2556.78,5207.78,46,46,TRUE,1.43,0.49,0.24,0.74
"gradient102"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,1,0,1,1,-2559.24,5208.51,44,41,TRUE,2.17,0.34,0.17,0.91
"gradient122"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,1,0,1,1,-2558.95,5210.03,45,44,TRUE,3.68,0.16,0.08,0.99
"gradient98"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day",1,1,0,1,1,1,0,-2564.03,5216,43,45,TRUE,9.66,0.01,0,1
"gradient64"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day",1,1,0,1,0,1,0,-2565.85,5217.57,42,42,TRUE,11.22,0,0,1
"gradient119"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day",1,1,1,1,1,1,0,-2563.8,5217.64,44,54,TRUE,11.3,0,0,1
"gradient101"," photo_diff_day flow_day_inp temp_day_inp flow_diff_day temp_diff_day",1,1,1,1,0,1,0,-2565.66,5219.27,43,37,TRUE,12.92,0,0,1
"gradient109"," photo_diff_day temp_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,0,1,1,1,-2567.56,5225.16,44,45,TRUE,18.82,0,0,1
"gradient77"," photo_diff_day temp_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",1,1,0,0,0,1,1,-2568.86,5225.66,43,46,TRUE,19.31,0,0,1
"gradient124"," photo_diff_day temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,0,1,1,1,-2567.56,5227.24,45,45,TRUE,20.9,0,0,1
"gradient111"," photo_diff_day temp_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,0,0,1,1,-2568.85,5227.74,44,44,TRUE,21.39,0,0,1
"gradient73"," photo_diff_day temp_day_inp lunar_phase_day flow_diff_day",1,1,0,0,1,1,0,-2571.79,5229.44,42,45,TRUE,23.1,0,0,1
"gradient34"," photo_diff_day temp_day_inp flow_diff_day",1,1,0,0,0,1,0,-2572.98,5229.73,41,36,TRUE,23.38,0,0,1
"gradient108"," photo_diff_day temp_day_inp lunar_phase_day flow_diff_day temp_diff_day",1,1,1,0,1,1,0,-2571.79,5231.53,43,41,TRUE,25.18,0,0,1
"gradient76"," photo_diff_day temp_day_inp flow_diff_day temp_diff_day",1,1,1,0,0,1,0,-2572.98,5231.81,42,41,TRUE,25.47,0,0,1
"gradient105"," photo_diff_day flow_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,1,1,1,1,-2582.33,5254.7,44,43,TRUE,48.35,0,0,1
"gradient71"," photo_diff_day flow_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,1,0,1,1,-2583.4,5254.75,43,39,TRUE,48.4,0,0,1
"gradient57"," temp_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,0,0,1,1,-2584.5,5254.85,42,37,TRUE,48.51,0,0,1
"gradient94"," temp_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,0,1,1,1,-2583.7,5255.34,43,44,TRUE,48.99,0,0,1
"gradient87"," flow_day_inp temp_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,1,0,1,1,-2583.79,5255.52,43,52,TRUE,49.18,0,0,1
"gradient114"," flow_day_inp temp_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,1,0,1,1,1,1,-2582.88,5255.81,44,44,TRUE,49.46,0,0,1
"gradient123"," photo_diff_day flow_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,1,1,1,1,-2582.24,5256.61,45,41,TRUE,50.26,0,0,1
"gradient107"," photo_diff_day flow_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,1,0,1,1,-2583.29,5256.62,44,48,TRUE,50.28,0,0,1
"gradient96"," temp_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,0,0,1,1,-2584.46,5256.86,43,45,TRUE,50.51,0,0,1
"gradient118"," temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,0,1,1,1,-2583.66,5257.36,44,55,TRUE,51.01,0,0,1
"gradient116"," flow_day_inp temp_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,1,0,1,1,-2583.77,5257.58,44,44,TRUE,51.23,0,0,1
"gradient125"," flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,1,1,1,1,-2582.87,5257.88,45,45,TRUE,51.53,0,0,1
"gradient30"," photo_diff_day flow_day_inp flow_diff_day",1,0,0,1,0,1,0,-2587.4,5258.56,41,39,TRUE,52.22,0,0,1
"gradient67"," photo_diff_day flow_day_inp lunar_phase_day flow_diff_day",1,0,0,1,1,1,0,-2586.42,5258.69,42,42,TRUE,52.35,0,0,1
"gradient70"," photo_diff_day flow_day_inp flow_diff_day temp_diff_day",1,0,1,1,0,1,0,-2587.26,5260.38,42,37,TRUE,54.04,0,0,1
"gradient104"," photo_diff_day flow_day_inp lunar_phase_day flow_diff_day temp_diff_day",1,0,1,1,1,1,0,-2586.3,5260.54,43,47,TRUE,54.2,0,0,1
"gradient51"," flow_day_inp flow_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,1,0,1,1,-2587.78,5261.42,42,42,TRUE,55.08,0,0,1
"gradient41"," photo_diff_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,0,0,1,1,-2587.87,5261.59,42,46,TRUE,55.25,0,0,1
"gradient90"," flow_day_inp lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,1,1,1,1,-2586.93,5261.81,43,40,TRUE,55.47,0,0,1
"gradient80"," photo_diff_day lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,0,1,1,1,-2587.14,5262.23,43,45,TRUE,55.89,0,0,1
"gradient26"," flow_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,0,0,1,1,-2589.36,5262.5,41,42,TRUE,56.15,0,0,1
"gradient10"," photo_diff_day flow_diff_day",1,0,0,0,0,1,0,-2590.58,5262.84,40,38,TRUE,56.5,0,0,1
"gradient82"," photo_diff_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,0,0,1,1,-2587.56,5263.07,43,43,TRUE,56.73,0,0,1
"gradient60"," lunar_phase_day flow_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,0,1,1,1,-2588.67,5263.19,42,45,TRUE,56.85,0,0,1
"gradient92"," flow_day_inp flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,0,1,1,-2587.64,5263.23,43,45,TRUE,56.88,0,0,1
"gradient37"," photo_diff_day lunar_phase_day flow_diff_day",1,0,0,0,1,1,0,-2589.88,5263.52,41,40,TRUE,57.18,0,0,1
"gradient117"," flow_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,1,1,1,-2586.81,5263.65,44,44,TRUE,57.31,0,0,1
"gradient112"," photo_diff_day lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,0,1,1,1,-2586.85,5263.74,44,43,TRUE,57.4,0,0,1
"gradient62"," flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,0,1,1,-2589.1,5264.06,42,36,TRUE,57.72,0,0,1
"gradient40"," photo_diff_day flow_diff_day temp_diff_day",1,0,1,0,0,1,0,-2590.27,5264.32,41,30,TRUE,57.97,0,0,1
"gradient97"," lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,1,1,1,-2588.42,5264.79,43,43,TRUE,58.44,0,0,1
"gradient79"," photo_diff_day lunar_phase_day flow_diff_day temp_diff_day",1,0,1,0,1,1,0,-2589.57,5265,42,40,TRUE,58.66,0,0,1
"gradient19"," temp_day_inp flow_diff_day",0,1,0,0,0,1,0,-2592.74,5267.17,40,36,TRUE,60.82,0,0,1
"gradient53"," temp_day_inp lunar_phase_day flow_diff_day",0,1,0,0,1,1,0,-2592.08,5267.92,41,37,TRUE,61.57,0,0,1
"gradient4"," flow_diff_day",0,0,0,0,0,1,0,-2594.58,5268.77,39,40,TRUE,62.42,0,0,1
"gradient56"," temp_day_inp flow_diff_day temp_diff_day",0,1,1,0,0,1,0,-2592.67,5269.12,41,40,TRUE,62.77,0,0,1
"gradient44"," flow_day_inp temp_day_inp flow_diff_day",0,1,0,1,0,1,0,-2592.74,5269.25,41,42,TRUE,62.9,0,0,1
"gradient22"," lunar_phase_day flow_diff_day",0,0,0,0,1,1,0,-2593.95,5269.58,40,37,TRUE,63.24,0,0,1
"gradient93"," temp_day_inp lunar_phase_day flow_diff_day temp_diff_day",0,1,1,0,1,1,0,-2592.01,5269.88,42,41,TRUE,63.54,0,0,1
"gradient83"," flow_day_inp temp_day_inp lunar_phase_day flow_diff_day",0,1,0,1,1,1,0,-2592.07,5269.99,42,41,TRUE,63.64,0,0,1
"gradient25"," flow_diff_day temp_diff_day",0,0,1,0,0,1,0,-2594.37,5270.42,40,42,TRUE,64.07,0,0,1
"gradient15"," flow_day_inp flow_diff_day",0,0,0,1,0,1,0,-2594.42,5270.52,40,40,TRUE,64.17,0,0,1
"gradient86"," flow_day_inp temp_day_inp flow_diff_day temp_diff_day",0,1,1,1,0,1,0,-2592.67,5271.2,42,41,TRUE,64.86,0,0,1
"gradient47"," flow_day_inp lunar_phase_day flow_diff_day",0,0,0,1,1,1,0,-2593.74,5271.26,41,36,TRUE,64.91,0,0,1
"gradient59"," lunar_phase_day flow_diff_day temp_diff_day",0,0,1,0,1,1,0,-2593.74,5271.26,41,40,TRUE,64.91,0,0,1
"gradient113"," flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day",0,1,1,1,1,1,0,-2592.01,5271.96,43,46,TRUE,65.62,0,0,1
"gradient50"," flow_day_inp flow_diff_day temp_diff_day",0,0,1,1,0,1,0,-2594.24,5272.25,41,38,TRUE,65.91,0,0,1
"gradient89"," flow_day_inp lunar_phase_day flow_diff_day temp_diff_day",0,0,1,1,1,1,0,-2593.58,5273.02,42,40,TRUE,66.68,0,0,1
"gradient100"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day chinook0_hatchery_perhour_day_inp",1,1,0,1,1,0,1,-2701.71,5493.46,44,45,TRUE,287.11,0,0,1
"gradient121"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,1,1,0,1,-2701.2,5494.54,45,49,TRUE,288.19,0,0,1
"gradient63"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day",1,1,0,1,1,0,0,-2705.7,5497.25,42,39,TRUE,290.91,0,0,1
"gradient99"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day temp_diff_day",1,1,1,1,1,0,0,-2705.5,5498.94,43,47,TRUE,292.59,0,0,1
"gradient66"," photo_diff_day flow_day_inp temp_day_inp chinook0_hatchery_perhour_day_inp",1,1,0,1,0,0,1,-2705.73,5499.4,43,42,TRUE,293.06,0,0,1
"gradient103"," photo_diff_day flow_day_inp temp_day_inp temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,1,0,0,1,-2705.22,5500.49,44,45,TRUE,294.14,0,0,1
"gradient28"," photo_diff_day flow_day_inp temp_day_inp",1,1,0,1,0,0,0,-2709.48,5502.73,41,46,TRUE,296.39,0,0,1
"gradient65"," photo_diff_day flow_day_inp temp_day_inp temp_diff_day",1,1,1,1,0,0,0,-2709.27,5504.4,42,45,TRUE,298.06,0,0,1
"gradient75"," photo_diff_day temp_day_inp lunar_phase_day chinook0_hatchery_perhour_day_inp",1,1,0,0,1,0,1,-2708.33,5504.6,43,45,TRUE,298.26,0,0,1
"gradient33"," photo_diff_day temp_day_inp lunar_phase_day",1,1,0,0,1,0,0,-2710.59,5504.96,41,39,TRUE,298.61,0,0,1
"gradient110"," photo_diff_day temp_day_inp lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,0,1,0,1,-2708.22,5506.48,44,38,TRUE,300.13,0,0,1
"gradient74"," photo_diff_day temp_day_inp lunar_phase_day temp_diff_day",1,1,1,0,1,0,0,-2710.57,5506.99,42,40,TRUE,300.65,0,0,1
"gradient36"," photo_diff_day temp_day_inp chinook0_hatchery_perhour_day_inp",1,1,0,0,0,0,1,-2711.31,5508.48,42,43,TRUE,302.13,0,0,1
"gradient8"," photo_diff_day temp_day_inp",1,1,0,0,0,0,0,-2713.56,5508.8,40,34,TRUE,302.46,0,0,1
"gradient78"," photo_diff_day temp_day_inp temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,0,0,0,1,-2711.18,5510.31,43,44,TRUE,303.97,0,0,1
"gradient35"," photo_diff_day temp_day_inp temp_diff_day",1,1,1,0,0,0,0,-2713.52,5510.82,41,42,TRUE,304.47,0,0,1
"gradient55"," temp_day_inp lunar_phase_day chinook0_hatchery_perhour_day_inp",0,1,0,0,1,0,1,-2739.14,5564.13,42,33,TRUE,357.78,0,0,1
"gradient95"," temp_day_inp lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,0,1,0,1,-2738.83,5565.6,43,35,TRUE,359.25,0,0,1
"gradient21"," temp_day_inp chinook0_hatchery_perhour_day_inp",0,1,0,0,0,0,1,-2740.93,5565.64,41,36,TRUE,359.29,0,0,1
"gradient85"," flow_day_inp temp_day_inp lunar_phase_day chinook0_hatchery_perhour_day_inp",0,1,0,1,1,0,1,-2738.91,5565.76,43,40,TRUE,359.41,0,0,1
"gradient46"," flow_day_inp temp_day_inp chinook0_hatchery_perhour_day_inp",0,1,0,1,0,0,1,-2740.61,5567.07,42,34,TRUE,360.73,0,0,1
"gradient58"," temp_day_inp temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,0,0,0,1,-2740.61,5567.09,42,34,TRUE,360.74,0,0,1
"gradient115"," flow_day_inp temp_day_inp lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,1,1,0,1,-2738.66,5567.37,44,40,TRUE,361.02,0,0,1
"gradient88"," flow_day_inp temp_day_inp temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,1,0,0,1,-2740.37,5568.69,43,36,TRUE,362.34,0,0,1
"gradient9"," photo_diff_day lunar_phase_day",1,0,0,0,1,0,0,-2743.79,5569.26,40,36,TRUE,362.92,0,0,1
"gradient29"," photo_diff_day flow_day_inp lunar_phase_day",1,0,0,1,1,0,0,-2742.99,5569.76,41,45,TRUE,363.41,0,0,1
"gradient38"," photo_diff_day lunar_phase_day temp_diff_day",1,0,1,0,1,0,0,-2743.48,5570.74,41,42,TRUE,364.39,0,0,1
"gradient"," photo_diff_day",1,0,0,0,0,0,0,-2745.79,5571.18,39,37,TRUE,364.84,0,0,1
"gradient68"," photo_diff_day flow_day_inp lunar_phase_day temp_diff_day",1,0,1,1,1,0,0,-2742.76,5571.38,42,40,TRUE,365.04,0,0,1
"gradient69"," photo_diff_day flow_day_inp lunar_phase_day chinook0_hatchery_perhour_day_inp",1,0,0,1,1,0,1,-2741.8,5571.55,43,45,TRUE,365.2,0,0,1
"gradient39"," photo_diff_day lunar_phase_day chinook0_hatchery_perhour_day_inp",1,0,0,0,1,0,1,-2742.95,5571.76,42,37,TRUE,365.42,0,0,1
"gradient7"," photo_diff_day flow_day_inp",1,0,0,1,0,0,0,-2745.23,5572.13,40,42,TRUE,365.79,0,0,1
"gradient11"," photo_diff_day temp_diff_day",1,0,1,0,0,0,0,-2745.51,5572.71,40,32,TRUE,366.36,0,0,1
"gradient106"," photo_diff_day flow_day_inp lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,1,1,0,1,-2741.72,5573.47,44,49,TRUE,367.12,0,0,1
"gradient81"," photo_diff_day lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,0,1,0,1,-2742.78,5573.5,43,42,TRUE,367.16,0,0,1
"gradient12"," photo_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,0,0,0,1,-2744.89,5573.54,41,47,TRUE,367.2,0,0,1
"gradient31"," photo_diff_day flow_day_inp temp_diff_day",1,0,1,1,0,0,0,-2745.01,5573.78,41,42,TRUE,367.44,0,0,1
"gradient32"," photo_diff_day flow_day_inp chinook0_hatchery_perhour_day_inp",1,0,0,1,0,0,1,-2744.01,5573.89,42,41,TRUE,367.54,0,0,1
"gradient42"," photo_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,0,0,0,1,-2744.74,5575.33,42,45,TRUE,368.98,0,0,1
"gradient72"," photo_diff_day flow_day_inp temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,1,0,0,1,-2743.94,5575.82,43,42,TRUE,369.47,0,0,1
"gradient43"," flow_day_inp temp_day_inp lunar_phase_day",0,1,0,1,1,0,0,-2746.41,5576.59,41,36,TRUE,370.25,0,0,1
"gradient13"," flow_day_inp temp_day_inp",0,1,0,1,0,0,0,-2747.91,5577.5,40,33,TRUE,371.16,0,0,1
"gradient18"," temp_day_inp lunar_phase_day",0,1,0,0,1,0,0,-2748.23,5578.14,40,33,TRUE,371.8,0,0,1
"gradient24"," lunar_phase_day chinook0_hatchery_perhour_day_inp",0,0,0,0,1,0,1,-2747.29,5578.35,41,36,TRUE,372.01,0,0,1
"gradient84"," flow_day_inp temp_day_inp lunar_phase_day temp_diff_day",0,1,1,1,1,0,0,-2746.38,5578.61,42,43,TRUE,372.27,0,0,1
"gradient2"," temp_day_inp",0,1,0,0,0,0,0,-2749.95,5579.5,39,27,TRUE,373.16,0,0,1
"gradient45"," flow_day_inp temp_day_inp temp_diff_day",0,1,1,1,0,0,0,-2747.88,5579.52,41,35,TRUE,373.18,0,0,1
"gradient6"," chinook0_hatchery_perhour_day_inp",0,0,0,0,0,0,1,-2749.03,5579.74,40,28,TRUE,373.4,0,0,1
"gradient54"," temp_day_inp lunar_phase_day temp_diff_day",0,1,1,0,1,0,0,-2748.1,5579.96,41,34,TRUE,373.62,0,0,1
"gradient61"," lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,1,0,1,-2747.29,5580.43,42,36,TRUE,374.08,0,0,1
"gradient49"," flow_day_inp lunar_phase_day chinook0_hatchery_perhour_day_inp",0,0,0,1,1,0,1,-2747.29,5580.44,42,48,TRUE,374.09,0,0,1
"gradient20"," temp_day_inp temp_diff_day",0,1,1,0,0,0,0,-2749.81,5581.3,40,31,TRUE,374.96,0,0,1
"gradient17"," flow_day_inp chinook0_hatchery_perhour_day_inp",0,0,0,1,0,0,1,-2749.01,5581.8,41,37,TRUE,375.45,0,0,1
"gradient27"," temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,0,0,1,-2749.03,5581.82,41,34,TRUE,375.48,0,0,1
"gradient91"," flow_day_inp lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,1,0,1,-2747.28,5582.51,43,45,TRUE,376.17,0,0,1
"gradient3"," lunar_phase_day",0,0,0,0,1,0,0,-2751.85,5583.31,39,33,TRUE,376.96,0,0,1
"gradient52"," flow_day_inp temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,0,0,1,-2749.01,5583.87,42,39,TRUE,377.53,0,0,1
"gradient14"," flow_day_inp lunar_phase_day",0,0,0,1,1,0,0,-2751.15,5583.99,40,30,TRUE,377.65,0,0,1
"gradient127"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,0,0,0,0,-2753.59,5584.69,38,27,TRUE,378.35,0,0,1
"gradient128"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,0,0,0,0,-2753.59,5584.69,38,27,TRUE,378.35,0,0,1
"gradient1"," flow_day_inp",0,0,0,1,0,0,0,-2752.75,5585.1,39,32,TRUE,378.75,0,0,1
"gradient23"," lunar_phase_day temp_diff_day",0,0,1,0,1,0,0,-2751.84,5585.36,40,34,TRUE,379.02,0,0,1
"gradient48"," flow_day_inp lunar_phase_day temp_diff_day",0,0,1,1,1,0,0,-2751.08,5585.94,41,39,TRUE,379.59,0,0,1
"gradient5"," temp_diff_day",0,0,1,0,0,0,0,-2753.58,5586.75,39,30,TRUE,380.41,0,0,1
"gradient16"," flow_day_inp temp_diff_day",0,0,1,1,0,0,0,-2752.68,5587.04,40,34,TRUE,380.7,0,0,1
